index,dms_origin,city_origin,state_origin,dms_dest,city_dest,state_dest,category,mode,total_ktons,total_ton_mile,total_m_dollar
70104,Miami FL,Miami,Florida,Rest of SC,none,South Carolina,Motorized vehicles,Truck,0.4551,0.2567,8.5377
168296,Rest of MD,none,Maryland,Dayton OH,Dayton,Ohio,Nonmetal min. prods.,Truck,0.0145,0.006999999999999999,0.0165
199719,Mississippi,none,Mississippi,Grand Rapids MI,Grand Rapids,Michigan,Machinery,Multiple modes & mail,0.0001,0.0001,0.0062
163888,Baltimore MD,Baltimore,Maryland,Rest of VA,none,Virginia,Coal-n.e.c.,Truck,5.8902,1.6118,6.1702
334961,Charleston SC,Charleston,South Carolina,Hartford CT,Hartford,Connecticut,Transport equip.,Air (include truck-air),0.0001,0.0001,1.2701
309591,Portland OR-WA (OR Part),Portland,Oregon,Minneapolis-St. Paul MN-WI (MN Part),Minneapolis-St. Paul,Minnesota,Other foodstuffs,Multiple modes & mail,0.0359,0.0643,0.2096
296518,Rest of OH,none,Ohio,Grand Rapids MI,Grand Rapids,Michigan,Meat/seafood,Truck,4.3476,1.2539,2.9961
247332,Buffalo NY  CFS Area,Buffalo,New York,Rest of KY,none,Kentucky,Furniture,Truck,0.2597,0.1723,0.9167
212565,Rest of MO,none,Missouri,Houston TX,Houston,Texas,Textiles/leather,Truck,0.2414,0.1761,15.904000000000002
174450,Rest of MA,none,Massachusetts,Rest of CT,none,Connecticut,Other ag prods.,Truck,0.0028,0.0003,0.1457
317752,Philadelphia PA-NJ-DE-MD (PA Part),Philadelphia,Maryland,Cincinnati OH-KY-IN (OH Part),Cincinnati,Ohio,Meat/seafood,Truck,1.1143,0.61,6.4666
44202,Denver CO,Denver,Colorado,San Francisco CA,San Francisco,California,Animal feed,Multiple modes & mail,15.3,21.0579,28.101
298376,Rest of OH,none,Ohio,Knoxville TN,Knoxville,Tennessee,Electronics,Truck,1.6513,0.9085,6.7399
187489,Rest of MI,none,Mississippi,New York NY-NJ-CT-PA (NJ Part),New York,New Jersey,Base metals,Multiple modes & mail,0.066,0.0564,0.1825
363357,Austin TX,Austin,Texas,Philadelphia PA-NJ-DE-MD (PA Part),Philadelphia,Maryland,Misc. mfg. prods.,Multiple modes & mail,0.0573,0.105,5.0969999999999995
14411,Tucson AZ,Tucson,Arizona,New Mexico,none,New Mexico,Other foodstuffs,Multiple modes & mail,0.1793,0.0653,0.1363
149936,Baton Rouge LA,Baton Rouge,Louisiana,Jacksonville FL-GA  CFS Area (FL Part),Jacksonville,Florida,Basic chemicals,Truck,6.894,3.8327,0.4806
59535,Rest of CT,none,Connecticut,Rest of TN,none,Tennessee,Motorized vehicles,Truck,0.0014,0.0014,0.0075
239127,Philadelphia PA-NJ-DE-MD (NJ Part),Philadelphia,New Jersey,Albany NY  CFS Area,Albany,New York,Mixed freight,Multiple modes & mail,0.13792000000000001,0.037078,1.9413
30830,San Diego CA,San Diego,California,Rest of CO,none,Colorado,Mixed freight,Multiple modes & mail,0.0001,0.0001,0.4461
371520,Dallas-Fort Worth TX-OK (TX Part),Dallas-Fort Worth,Texas,Rest of TX,none,Texas,Mixed freight,Multiple modes & mail,15.0,5.1083,385.861
246938,Buffalo NY  CFS Area,Buffalo,New York,Chicago IL-IN-WI (IL Part),Chicago,Illinois,Basic chemicals,Truck,9.9529,5.6443,24.35
259236,Rest of NY,none,New York,Washington DC-VA-MD-WV (MD Part),Washington DC,Maryland,Meat/seafood,Truck,2.7566,1.3248,30.141
92126,Honolulu HI,Honolulu,Hawaii,Rest of HI,none,Hawaii,Base metals,Multiple modes & mail,2.8576,0.3088,8.0718
314181,Rest of OR,none,Oregon,San Antonio TX,San Antonio,Texas,Paper articles,Multiple modes & mail,0.0001,0.0002,1.0183
254041,New York NY-NJ-CT-PA (NY Part),New York,New York,Rest of TX,none,Texas,Chemical prods.,Multiple modes & mail,0.3059,0.4924,5.87
178360,Detroit MI,Detroit,Michigan,Fort Wayne IN,Fort Wayne,Indiana,Pharmaceuticals,Truck,0.0001,0.0,0.7073
114444,Indianapolis IN,Indianapolis,Indiana,Rest of MI,none,Mississippi,Basic chemicals,Truck,5.0689,1.8274,10.879000000000001
83737,Atlanta GA,Atlanta,Georgia,New Mexico,none,New Mexico,Plastics/rubber,Multiple modes & mail,0.1707,0.2519,0.907
118640,Fort Wayne IN,Fort Wayne,Indiana,Cleveland OH,Cleveland,Ohio,Machinery,Multiple modes & mail,0.0988,0.0197,4.0481
338433,Greenville SC,Greenville,South Carolina,Washington DC-VA-MD-WV (MD Part),Washington DC,Maryland,Textiles/leather,Multiple modes & mail,0.0606,0.0288,1.1903
179543,Detroit MI,Detroit,Michigan,Rest of NV,none,Nevada,Printed prods.,Multiple modes & mail,0.1329,0.2633,0.2639
153322,New Orleans LA-MS (LA Part),New Orleans,Louisiana,Rest of FL,none,Florida,Basic chemicals,Truck,16.0,7.8569,13.218
134083,Wichita KS,Wichita,Kansas,Mississippi,none,Mississippi,Meat/seafood,Truck,10.859000000000002,9.3287,74.093
174068,Rest of MA,none,Massachusetts,Birmingham AL,Birmingham,Alabama,Furniture,Truck,0.0221,0.0269,0.0894
254598,Rochester NY,Rochester,New York,Rest of AL,none,Alabama,Articles-base metal,Truck,0.0429,0.0416,0.1973
359971,Rest of TN,none,Tennessee,Rest of NC,none,North Carolina,Furniture,Truck,2.3382,1.4169999999999998,9.4543
144096,Louisville KY-IN (KY Part),Louisville,Kentucky,Rest of NC,none,North Carolina,Newsprint/paper,Truck,0.2475,0.1303,1.9717
26317,Los Angeles CA,Los Angeles,California,South Dakota,none,South Dakota,Pharmaceuticals,Air (include truck-air),0.0001,0.0001,49.894
195275,Rest of MN,none,Minnesota,Idaho,none,Idaho,Mixed freight,Truck,0.3187,0.5392,0.8209
198590,Mississippi,none,Mississippi,New York NY-NJ-CT-PA (CT Part),New York,Connecticut,Machinery,Truck,0.2399,0.3041,0.2983
194674,Rest of MN,none,Minnesota,Arkansas,none,Arkansas,Other foodstuffs,Rail,73.95,81.3396,19.762
341130,Rest of SC,none,South Carolina,Washington DC-VA-MD-WV (DC Part),Washington DC,District of Columbia,Mixed freight,Truck,0.1492,0.06,0.3843
161241,Baltimore MD,Baltimore,Maryland,Philadelphia PA-NJ-DE-MD (DE Part),Philadelphia,Delaware,Other foodstuffs,Truck,2.8034,0.1564,6.6498
379652,San Antonio TX,San Antonio,Texas,Grand Rapids MI,Grand Rapids,Michigan,Other foodstuffs,Truck,0.0004,0.0006,0.0498
141116,Cincinnati OH-KY-IN (KY Part),Cincinnati,Kentucky,Pittsburgh PA-OH-WV (PA Part),Pittsburgh,Pennsylvania,Electronics,Multiple modes & mail,0.1178,0.0465,14.245999999999999
177329,Detroit MI,Detroit,Michigan,Los Angeles CA,Los Angeles,California,Basic chemicals,Rail,8.9655,22.5296,11.138
197051,Rest of MN,none,Minnesota,Portland OR-WA (OR Part),Portland,Oregon,Other foodstuffs,Multiple modes & mail,3.0524,5.6264,0.2306
60903,Philadelphia PA-NJ-DE-MD (DE Part),Philadelphia,Delaware,Minneapolis-St. Paul MN-WI (MN Part),Minneapolis-St. Paul,Minnesota,Mixed freight,Multiple modes & mail,0.0001,0.0001,0.3571
16824,Rest of AZ,none,Arizona,Rest of NC,none,North Carolina,Misc. mfg. prods.,Multiple modes & mail,0.0607,0.1152,4.6621
32134,San Diego CA,San Diego,California,New York NY-NJ-CT-PA (NJ Part),New York,New Jersey,Machinery,Truck,12.597999999999999,35.1209,52.31100000000001
390238,Rest of UT,none,Utah,Boston MA-RI-NH-CT (MA Part),Boston,Massachusetts,Meat/seafood,Truck,9.8765,24.4399,47.284
371460,Dallas-Fort Worth TX-OK (TX Part),Dallas-Fort Worth,Texas,Rest of TX,none,Texas,Nonmetallic minerals,Multiple modes & mail,0.5991,0.0855,4.5789
229872,Rest of NH,none,New Hampshire,Rest of CA,none,California,Electronics,Multiple modes & mail,0.0676,0.2166,3.7583
298509,Rest of OH,none,Ohio,Dallas-Fort Worth TX-OK (TX Part),Dallas-Fort Worth,Texas,Nonmetal min. prods.,Truck,58.803999999999995,66.8732,26.877
57356,New York NY-NJ-CT-PA (CT Part),New York,Connecticut,Laredo TX,Laredo,Texas,Machinery,Truck,7.2128,14.9268,90.29
217710,Omaha NE-IA (NE Part),Omaha,Nebraska,Portland OR-WA (OR Part),Portland,Oregon,Misc. mfg. prods.,Truck,0.0878,0.15,0.4079
251998,New York NY-NJ-CT-PA (NY Part),New York,New York,Rest of MN,none,Minnesota,Precision instruments,Air (include truck-air),0.0092,0.0114,8.193
320806,Pittsburgh PA-OH-WV (PA Part),Pittsburgh,Pennsylvania,Baltimore MD,Baltimore,Maryland,Electronics,Truck,1.0692,0.3504,30.646
92629,Honolulu HI,Honolulu,Hawaii,Pittsburgh PA-OH-WV (PA Part),Pittsburgh,Pennsylvania,Meat/seafood,Air (include truck-air),0.0001,0.0005,2.2726
33199,San Diego CA,San Diego,California,Rest of TX,none,Texas,Plastics/rubber,Multiple modes & mail,0.0001,0.0001,0.4899
342554,Rest of SC,none,South Carolina,New York NY-NJ-CT-PA (NJ Part),New York,New Jersey,Basic chemicals,Air (include truck-air),0.0002,0.0001,0.5786
73358,Orlando FL,Orlando,Florida,New York NY-NJ-CT-PA (PA Part),New York,Pennsylvania,Articles-base metal,Multiple modes & mail,0.0638,0.0689,0.0003
13947,Tucson AZ,Tucson,Arizona,Baton Rouge LA,Baton Rouge,Louisiana,Furniture,Truck,0.0106,0.0149,0.0429
229712,Rest of NH,none,New Hampshire,Phoenix AZ,Phoenix,Arizona,Mixed freight,Multiple modes & mail,0.0676,0.1916,0.2495
396720,Richmond VA,Richmond,Virginia,Dallas-Fort Worth TX-OK (TX Part),Dallas-Fort Worth,Texas,Misc. mfg. prods.,Multiple modes & mail,0.1105,0.1537,3.1474
50152,Rest of CO,none,Colorado,Pittsburgh PA-OH-WV (PA Part),Pittsburgh,Pennsylvania,Milled grain prods.,Truck,0.4073,0.6873,0.7982
401056,Washington DC-VA-MD-WV (VA Part),Washington DC,Virginia,St. Louis MO-IL (MO Part),St. Louis,Missouri,Basic chemicals,Multiple modes & mail,0.0001,0.0001,3.2907
13415,Tucson AZ,Tucson,Arizona,Rest of CA,none,California,Motorized vehicles,Multiple modes & mail,0.4318,0.3104,0.6791
352991,Nashville TN,Nashville,Tennessee,New York NY-NJ-CT-PA (NY Part),New York,New York,Motorized vehicles,Truck,19.748,18.5446,158.1151
226499,Rest of NV,none,Nevada,Seattle WA,Seattle,Washington,Transport equip.,Truck,0.1313,0.131,1.6222
388353,Salt Lake City UT,Salt Lake City,Utah,Rest of OR,none,Oregon,Printed prods.,Multiple modes & mail,0.0723,0.0416,1.3494
149551,Rest of KY,none,Kentucky,Rest of WI,none,Wisconsin,Basic chemicals,Multiple modes & mail,0.0001,0.0001,0.4253
260706,Rest of NY,none,New York,Philadelphia PA-NJ-DE-MD (PA Part),Philadelphia,Maryland,Base metals,Truck,19.8615,7.9482,77.9242
109608,Rest of IL,none,Illinois,Seattle WA,Seattle,Washington,Coal-n.e.c.,Truck,0.013000000000000001,0.0283,0.0189
158027,Rest of LA,none,Louisiana,Milwaukee WI,Milwaukee,Wisconsin,Misc. mfg. prods.,Multiple modes & mail,0.1575,0.1518,9.0
48423,Rest of CO,none,Colorado,Atlanta GA,Atlanta,Georgia,Building stone,Truck,0.051,0.0873,0.3246
298835,Rest of OH,none,Ohio,Washington DC-VA-MD-WV (VA Part),Washington DC,Virginia,Meat/seafood,Truck,11.884,6.3661,47.87
147759,Rest of KY,none,Kentucky,New Mexico,none,New Mexico,Plastics/rubber,Truck,1.7317,2.7668,5.0159
415528,Rest of WA,none,Washington,Portland OR-WA (WA Part),Portland,Washington,Machinery,Truck,0.201,0.057999999999999996,0.0386
315331,Philadelphia PA-NJ-DE-MD (PA Part),Philadelphia,Maryland,Rest of DE,none,Delaware,Articles-base metal,Truck,0.4231,0.0553,0.9412
189156,Rest of MI,none,Mississippi,Rest of WI,none,Wisconsin,Wood prods.,Rail,4.4484,2.7382,1.5048
345919,South Dakota,none,South Dakota,Las Vegas NV-AZ (NV Part),Las Vegas,Nevada,Electronics,Truck,0.0791,0.1025,0.6891
175407,Rest of MA,none,Massachusetts,Minneapolis-St. Paul MN-WI (MN Part),Minneapolis-St. Paul,Minnesota,Articles-base metal,Truck,0.21600000000000003,0.2944,1.8929
337071,Charleston SC,Charleston,South Carolina,West Virginia,none,West Virginia,Plastics/rubber,Multiple modes & mail,0.0543,0.0293,0.8213
2587,Birmingham AL,Birmingham,Alabama,Knoxville TN,Knoxville,Tennessee,Mixed freight,Truck,0.1328,0.0363,0.3421
274060,Rest of NC,none,North Carolina,Detroit MI,Detroit,Michigan,Wood prods.,Truck,10.754000000000001,6.7774,5.9146
138400,Rest of KS,none,Kansas,Knoxville TN,Knoxville,Tennessee,Basic chemicals,Truck,0.1435,0.1353,0.6928
276721,North Dakota,none,North Dakota,Jacksonville FL-GA  CFS Area (FL Part),Jacksonville,Florida,Furniture,Truck,0.0521,0.1002,0.2107
99604,Chicago IL-IN-WI (IL Part),Chicago,Illinois,Rest of MI,none,Mississippi,Other ag prods.,Truck,8.3102,2.3622,7.9068
80443,Rest of FL,none,Florida,El Paso TX-NM (TX Part),El Paso,Texas,Furniture,Truck,0.2811,0.4876,1.1374
256624,Rochester NY,Rochester,New York,Greensboro--Winston-Salem--High Point NC,Greensboro,North Carolina,Electronics,Multiple modes & mail,0.0966,0.0712,3.6630000000000003
234002,New York NY-NJ-CT-PA (NJ Part),New York,New Jersey,Boston MA-RI-NH-CT (MA Part),Boston,Massachusetts,Coal-n.e.c.,Truck,4.0,1.0547,6.0
336335,Charleston SC,Charleston,South Carolina,Rest of OH,none,Ohio,Furniture,Truck,0.1227,0.0848,0.4964
76271,Tampa FL,Tampa,Florida,Rest of NC,none,North Carolina,Nonmetal min. prods.,Truck,0.8712,0.6384,1.3831
223464,Las Vegas NV-AZ (NV Part),Las Vegas,Nevada,Greenville SC,Greenville,South Carolina,Furniture,Truck,0.1266,0.2881,0.5124
321676,Pittsburgh PA-OH-WV (PA Part),Pittsburgh,Pennsylvania,Rest of NY,none,New York,Basic chemicals,Multiple modes & mail,0.0105,0.004,0.0236
274100,Rest of NC,none,North Carolina,Grand Rapids MI,Grand Rapids,Michigan,Base metals,Multiple modes & mail,0.1105,0.09300000000000001,1.235
369106,Dallas-Fort Worth TX-OK (TX Part),Dallas-Fort Worth,Texas,Rest of MA,none,Massachusetts,Transport equip.,Air (include truck-air),0.0389,0.0595,0.2285
289127,Columbus OH,Columbus,Ohio,Baltimore MD,Baltimore,Maryland,Motorized vehicles,Truck,0.9447,0.3937,2.2342
387951,Salt Lake City UT,Salt Lake City,Utah,Greensboro--Winston-Salem--High Point NC,Greensboro,North Carolina,Textiles/leather,Multiple modes & mail,0.1565,0.3627,42.257
358815,Rest of TN,none,Tennessee,Rest of KY,none,Kentucky,Machinery,Multiple modes & mail,0.0822,0.0228,2.866
184401,Grand Rapids MI,Grand Rapids,Michigan,Philadelphia PA-NJ-DE-MD (PA Part),Philadelphia,Maryland,Furniture,Truck,2.0426,1.4463,22.6439
404478,Rest of VA,none,Virginia,Albany NY  CFS Area,Albany,New York,Meat/seafood,Truck,2.764,2.1817,10.523
220960,Rest of NE,none,Nebraska,Pittsburgh PA-OH-WV (PA Part),Pittsburgh,Pennsylvania,Printed prods.,Multiple modes & mail,0.0795,0.0911,0.9401
239449,Philadelphia PA-NJ-DE-MD (NJ Part),Philadelphia,New Jersey,North Dakota,none,North Dakota,Pharmaceuticals,Multiple modes & mail,0.1254,0.2074,0.2669
67094,Miami FL,Miami,Florida,Tucson AZ,Tucson,Arizona,Coal-n.e.c.,Air (include truck-air),0.0001,0.0002,0.0
89939,Rest of GA,none,Georgia,Omaha NE-IA (NE Part),Omaha,Nebraska,Textiles/leather,Truck,0.1373,0.157,0.2394
353978,Nashville TN,Nashville,Tennessee,Rest of TN,none,Tennessee,Mixed freight,Multiple modes & mail,0.125,0.0281,7.1075
133614,Wichita KS,Wichita,Kansas,Wichita KS,Wichita,Kansas,Chemical prods.,Truck,20.9282,0.3514,92.1451
183710,Grand Rapids MI,Grand Rapids,Michigan,Rest of NH,none,New Hampshire,Base metals,Truck,0.8257,0.7774,0.9969
233371,New York NY-NJ-CT-PA (NJ Part),New York,New Jersey,Indianapolis IN,Indianapolis,Indiana,Coal-n.e.c.,Truck,2.7858,1.9501,0.9819
278172,North Dakota,none,North Dakota,Greenville SC,Greenville,South Carolina,Misc. mfg. prods.,Multiple modes & mail,0.1047,0.1751,2.1036
116982,Fort Wayne IN,Fort Wayne,Indiana,Miami FL,Miami,Florida,Furniture,Truck,0.3776,0.4784,1.0659
27023,Los Angeles CA,Los Angeles,California,Rest of UT,none,Utah,Misc. mfg. prods.,Multiple modes & mail,0.0963,0.0532,5.8899
282835,Cleveland OH,Cleveland,Ohio,Rest of AL,none,Alabama,Nonmetal min. prods.,Air (include truck-air),0.0001,0.0001,8.6724
59621,Rest of CT,none,Connecticut,San Antonio TX,San Antonio,Texas,Plastics/rubber,Truck,0.0017,0.0034,1.6819
375196,Houston TX,Houston,Texas,New Orleans LA-MS (LA Part),New Orleans,Louisiana,Electronics,Truck,4.73,1.9792,57.7829
213127,Montana,none,Montana,Rest of AZ,none,Arizona,Printed prods.,Multiple modes & mail,0.0897,0.1107,0.2245
203772,Kansas City MO-KS (MO Part),Kansas City,Missouri,New Mexico,none,New Mexico,Coal-n.e.c.,Truck,0.1621,0.1588,0.0571
147582,Rest of KY,none,Kentucky,Omaha NE-IA (NE Part),Omaha,Nebraska,Machinery,Multiple modes & mail,0.023,0.0156,0.5039
355883,Knoxville TN,Knoxville,Tennessee,Mississippi,none,Mississippi,Motorized vehicles,Multiple modes & mail,0.0428,0.0168,0.2586
81118,Atlanta GA,Atlanta,Georgia,Rest of AZ,none,Arizona,Plastics/rubber,Truck,0.1018,0.1849,0.2604
274831,Rest of NC,none,North Carolina,Greensboro--Winston-Salem--High Point NC,Greensboro,North Carolina,Mixed freight,Multiple modes & mail,0.0608,0.0082,1.1016
253522,New York NY-NJ-CT-PA (NY Part),New York,New York,Boston MA-RI-NH-CT (RI Part),Boston,Rhode Island,Machinery,Multiple modes & mail,0.0001,0.0,0.265
85759,Atlanta GA,Atlanta,Georgia,Seattle WA,Seattle,Washington,Newsprint/paper,Truck,0.1345,0.366,0.7916
232695,New York NY-NJ-CT-PA (NJ Part),New York,New Jersey,Rest of CT,none,Connecticut,Precision instruments,Multiple modes & mail,0.2184,0.0387,2.0002
61697,Philadelphia PA-NJ-DE-MD (DE Part),Philadelphia,Delaware,Rest of SC,none,South Carolina,Metallic ores,Truck,3.2585,2.1213,0.9965
212879,Rest of MO,none,Missouri,Portland OR-WA (WA Part),Portland,Washington,Motorized vehicles,Truck,0.0178,0.0385,0.0973
